planet_name,planet_mass,planet_radius,star_name,star_distance_to_us (pc),star_mass,star_radius,star_sp_type,has_atmospere
TOI-1601 b,0.99,1.239,TOI-1601,336.0,1.517,2.186,,
TOI-1634 b,0.01545,0.1597,TOI-1634,35.274,0.502,0.45,M2,
TOI-1669 b,0.0132,0.214,TOI-1669,111.75,,,G5,
TOI-1670 b,0.0434,0.1838,TOI-1670,165.72,1.21,1.316,,
TOI-1670 c,0.63,0.987,TOI-1670,165.72,1.21,1.316,,
TOI-1680 b,0.01001,0.13079,TOI-1680,,0.18,0.213,M4.5,
TOI-1683 b,0.025,0.205,TOI-1683,,,,,
TOI-1685 b,0.01189,0.152,TOI-1685,37.609,0.495,0.492,M3.0V,
TOI-169 b,0.791,1.086,TOI-169,412.5,1.147,1.288,G1V,
TOI-1693 b,0.0088,0.1258,TOI-1693,30.8,0.49,0.46,,
TOI-1694 b,0.0809,0.48702,TOI-1694,124.2,,,,
TOI-1695 b,0.0182,0.17,TOI-1695,44.99,0.54,0.53,,
TOI-1696 b,0.1787,0.2891,TOI-1696,65.03,0.255,0.2775,,
TOI-1710 b,0.089,0.4764,TOI-1710,81.1376,0.984,0.968,G5V,
TOI-1728 b,0.08426,0.4505,TOI-1728,60.8,0.646,0.6243,,
TOI-1736 b,0.0374,0.2721,TOI-1736,88.9482,1.0,1.408,,
TOI-1749 b,0.06,0.124,TOI-1749,99.56,0.58,0.55,M0V,
TOI-1749 c,0.0066,0.1891,TOI-1749,99.56,0.58,0.55,M0V,
TOI-1749 d,0.0135,0.2248,TOI-1749,99.56,0.58,0.55,M0V,
TOI-1759 b,0.0214,0.273,TOI-1759,40.12,0.61,0.6,M0V,
TOI-178 b,0.00472,0.10278,TOI-178,63.0,0.65,0.651,,
TOI-178 c,0.01501,0.1489,TOI-178,63.0,0.65,0.651,,
TOI-178 d,0.00947,0.22946,TOI-178,63.0,0.65,0.651,,
TOI-178 e,0.01214,0.1969,TOI-178,63.0,0.65,0.651,,
TOI-178 f,0.02429,0.20403,TOI-178,63.0,0.65,0.651,,
TOI-178 g,0.0124,0.256,TOI-178,63.0,0.65,0.651,,
TOI-1789 b,0.7,1.4,TOI-1789,223.55,1.499,2.172,,
TOI-179 b,0.0758,0.2436,TOI-179,38.585,0.807,0.798,,
TOI-1801 b,0.01579,0.1865,TOI-1801,30.68,0.54,0.55,,
TOI-1807 b,0.00714,0.1222,TOI-1807,42.577,0.75,0.68,,
TOI-181 b,0.13,0.6183,TOI-181,96.2338,0.781,0.74,,
TOI-1811 b,0.974,1.0,TOI-1811,128.3,0.819,0.773,,
TOI-1842 b,0.214,1.04,TOI-1842,223.47,1.46,2.02,,
TOI-1853 b,0.040571,0.324465,TOI-1853,165.105,0.82,0.84,,
TOI-1860 b,0.0069,0.1169,TOI-1860,45.9,0.99,0.94,G5V,
TOI-1899 b,0.67,0.99,TOI-1899,128.4,0.627,0.607,M0,
TOI-199 b,0.17,0.81,TOI-199,101.7,0.936,0.82,G9V,
TOI-2000 b,0.0324,0.2355,TOI-2000,173.6,1.074,1.113,,
TOI-2000 c,0.2382,0.711,TOI-2000,173.6,1.074,1.113,,
TOI-201 b,0.42,1.0,TOI-201,114.2,1.316,1.317,F6V,
TOI-2018 b,0.0289,0.2025,TOI-2018,28.0,0.66,0.62,,
TOI-2018 c,0.0113,0.1374,TOI-2018,28.0,0.66,0.62,,
TOI-206 b,0.0069,0.116,TOI-206,47.7,0.35,0.35,,
TOI-2081 b,0.016,0.182,TOI-2081,62.31,0.54,0.534,M1,
TOI-2084 b,0.02121,0.2204,TOI-2084,114.29,0.49,0.475,M2,
TOI-2095 b,0.0129,0.1115,TOI-2095,41.917,0.465,0.453,M0.5V,
TOI-2095 c,0.0233,0.1187,TOI-2095,41.917,0.465,0.453,M0.5V,
TOI-2096 b,0.006,0.11089,TOI-2096,48.4809,0.218,0.25,,
TOI-2096 c,0.0145,0.17076,TOI-2096,48.4809,0.218,0.25,,
TOI-2134 b,0.02873,0.24,TOI-2134,22.62,0.69,0.77,,
TOI-2136 b,0.0148,0.1865,TOI-2136,33.36,0.34,0.34,,
TOI-2154 b,0.92,1.453,TOI-2154,296.3,1.233,1.396,,
TOI-2158 b,0.82,0.96,TOI-2158,200.0,1.12,1.41,,
TOI-216 b,0.0558,0.6861,TOI-216,178.89,0.77,0.747,,
TOI-216 c,0.528,0.901,TOI-216,178.89,0.77,0.747,,
TOI-2184 b,0.65,1.017,TOI-2184,,1.53,2.9,,
TOI-2193 b,0.94,1.77,TOI-2193,345.3,1.082,1.248,,
